code,name,sectionCode
A182490,TIGER 단기선진하이일드(합성 H),10
A183700,KBSTAR 채권혼합,10
A183710,KBSTAR 주식혼합,10
A185680,KODEX 미국S&P바이오(합성),10
A189400,ARIRANG 글로벌MSCI(합성 H),10
A190160,ARIRANG 단기유동성,10
A190620,KINDEX 단기통안채,10
A192090,TIGER 차이나CSI300,10
A192720,파워 고배당저변동성,10
A195920,TIGER 일본TOPIX(합성 H),10
A195930,TIGER 유로스탁스50(합성 H),10
A195970,ARIRANG 선진국MSCI(합성 H),10
A195980,ARIRANG 신흥국MSCI(합성 H),10
A196030,KINDEX 일본TOPIX레버리지(H),10
A196220,KBSTAR 일본TOPIX레버리지(H),10
A196230,KBSTAR 단기통안채,10
A200030,KODEX 미국S&P산업재(합성),10
A200250,KOSEF 인도Nifty50(합성),10
A203780,TIGER 미국나스닥바이오,10
A204450,KODEX China H 레버리지(H),10
A204480,TIGER 차이나CSI300레버리지(합성),10
A205720,KINDEX 일본TOPIX인버스(합성 H),10
A208470,SMART 선진국MSCI World(합성 H),10
A210780,TIGER 코스피고배당,10
A211210,마이티 코스피고배당,10
A211260,KINDEX 배당성장,10
A211560,TIGER 배당성장,10
A211900,KODEX 배당성장,10
A213610,KODEX 삼성그룹밸류,10
A213630,ARIRANG 미국다우존스고배당주(합성 H),10
A214980,KODEX 단기채권PLUS,10
A215620,흥국 S&P코리아로우볼,10
A217770,TIGER 원유선물인버스(H),10
A217780,TIGER 차이나CSI300인버스(합성),10
A217790,TIGER 가격조정,10
A218420,KODEX 미국S&P에너지(합성),10
A219390,KBSTAR 미국S&P원유생산기업(합성 H),10
A219480,KODEX 미국S&P500선물(H),10
A219900,KINDEX 중국본토CSI300레버리지(합성),10
A220130,SMART 중국본토 중소형 CSI500(합성 H),10
A222180,ARIRANG 스마트베타 Value,10
A222190,ARIRANG 스마트베타 Momentum,10
A222200,ARIRANG 스마트베타 Quality,10
A223190,KODEX 200가치저변동,10
A225030,TIGER 미국S&P500선물인버스(H),10
A225040,TIGER 미국S&P500레버리지(합성 H),10
A225050,TIGER 유로스탁스레버리지(합성 H),10
A225060,TIGER 이머징마켓MSCI레버리지(합성 H),10
A225130,KINDEX 골드선물 레버리지(합성 H),10
A225800,KOSEF 미국달러선물레버리지,10
A226380,KINDEX 한류,10
A226490,KODEX 코스피,10
A226980,KODEX 200 중소형,10
A227540,TIGER 200 헬스케어,10
A227550,TIGER 200 산업재,10
A227560,TIGER 200 생활소비재,10
A227570,TIGER 우량가치,10
A227830,ARIRANG 코스피,10
A228790,TIGER 화장품,10
A228800,TIGER 여행레저,10
A228810,TIGER 미디어컨텐츠,10
A228820,TIGER KTOP30,10
A229200,KODEX 코스닥 150,10
A229720,KODEX KTOP30,10
A230480,KOSEF 미국달러선물 인버스2X(합성),10
A232080,TIGER 코스닥150,10
A233160,TIGER 코스닥150 레버리지,10
A233740,KODEX 코스닥150 레버리지,10
A234310,KBSTAR V&S셀렉트밸류,10
A236350,TIGER 인도니프티50레버리지(합성),10
A236460,ARIRANG 스마트베타 LowVOL,10
A237350,KODEX 코스피100,10
A237370,KODEX 배당성장채권혼합,10
A237440,TIGER 경기방어채권혼합,10
A238670,ARIRANG 스마트베타Quality채권혼합,10
A238720,KINDEX 일본Nikkei225(H),10
A239660,ARIRANG 우량회사채50 1년,10
A241180,TIGER 일본니케이225,10
A241390,KBSTAR V&S셀렉트밸류채권혼합,10
A243880,TIGER 200IT레버리지,10
A243890,TIGER 200에너지화학레버리지,10
A244580,KODEX 바이오,10
A244620,KODEX 모멘텀Plus,10
A244660,KODEX 퀄리티Plus,10
A244670,KODEX 밸류Plus,10
A245340,TIGER 미국다우존스30,10
A245350,TIGER 유로스탁스배당30,10
A245360,TIGER 차이나HSCEI,10
A245710,KINDEX 베트남VN30(합성),10
A247780,KODEX 가치투자,10
A247790,KODEX 성장투자,10
A247800,KODEX 턴어라운드투자,10
A248260,TIGER 일본TOPIX헬스케어(합성),10
A248270,TIGER S&P글로벌헬스케어(합성),10
A250730,KBSTAR 차이나HSCEI(H),10
A250780,TIGER 코스닥150선물인버스,10
A251340,KODEX 코스닥150선물인버스,10
A251350,KODEX 선진국MSCI World,10
A251590,ARIRANG 고배당저변동50,10
A251600,ARIRANG 고배당주채권혼합,10
A251890,KINDEX 코스닥(합성),10
A252000,TIGER 200동일가중,10
A252400,KBSTAR 200선물레버리지,10
A252410,KBSTAR 200선물인버스,10
A252420,KBSTAR 200선물인버스2X,10
A252650,KODEX 200동일가중,10
A252670,KODEX 200선물인버스2X,10
A252710,TIGER 200선물인버스2X,10
A252720,KBSTAR 모멘텀밸류,10
A252730,KBSTAR 모멘텀로우볼,10
A253150,ARIRANG 200선물레버리지,10
A253160,ARIRANG 200선물인버스2X,10
A253230,KOSEF 200선물인버스2X,10
A253240,KOSEF 200선물인버스,10
A253250,KOSEF 200선물레버리지,10
A253280,KBSTAR 헬스케어,10
A253290,KBSTAR 헬스케어채권혼합,10
A253990,TIGER 대만TAIEX선물(H),10
